Record,Date Time,Set Temp,T Low Alarm,T Low Alert,T High Alarm,T High Alert,Tmp 1
1,13:12:50,25.0,23.0,22.0,27.0,26.0,24.787025694831488
2,15:31:55,25.0,23.0,22.0,27.0,26.0,24.515725645594525
3,04:03:35,25.0,23.0,22.0,27.0,26.0,24.503393387414174
4,22:45:41,25.0,23.0,22.0,27.0,26.0,25.357756628021093
5,00:18:11,25.0,23.0,22.0,27.0,26.0,24.852506765305478
6,16:42:53,25.0,23.0,22.0,27.0,26.0,25.351385813526147
7,20:13:16,25.0,23.0,22.0,27.0,26.0,25.261987160998064
8,20:55:17,25.0,23.0,22.0,27.0,26.0,25.103296947519567
9,17:12:19,25.0,23.0,22.0,27.0,26.0,25.242453968659923
10,09:53:05,25.0,23.0,22.0,27.0,26.0,24.990349602241217
11,01:58:11,25.0,23.0,22.0,27.0,26.0,25.407596594325128
12,14:34:31,25.0,23.0,22.0,27.0,26.0,24.86755962368618
13,15:36:17,25.0,23.0,22.0,27.0,26.0,24.94506009748626
14,15:01:54,25.0,23.0,22.0,27.0,26.0,24.597695737357714
15,15:38:40,25.0,23.0,22.0,27.0,26.0,24.726832154186773
16,23:41:57,25.0,23.0,22.0,27.0,26.0,24.59823357277172
17,03:35:13,25.0,23.0,22.0,27.0,26.0,24.852606913865422
18,13:33:41,25.0,23.0,22.0,27.0,26.0,25.156927205412966
19,08:11:35,25.0,23.0,22.0,27.0,26.0,24.775934176859348
20,03:56:57,25.0,23.0,22.0,27.0,26.0,24.533769797360296
21,19:58:30,25.0,23.0,22.0,27.0,26.0,25.020273561620836
22,10:08:18,25.0,23.0,22.0,27.0,26.0,24.53973056516667
23,00:36:23,25.0,23.0,22.0,27.0,26.0,24.57011114387404
24,18:44:00,25.0,23.0,22.0,27.0,26.0,24.73921157849766
25,14:54:21,25.0,23.0,22.0,27.0,26.0,25.096305359095247
26,01:15:35,25.0,23.0,22.0,27.0,26.0,24.901825216752815
27,16:34:14,25.0,23.0,22.0,27.0,26.0,24.71677629240034
