Record,Date,Time,Set Temp,T Low Alarm,T Low Alert,T High Alarm,T High Alert,Tmp 1,Set RH,RH Low Alarm,RH Low Alert,RH High Alarm,RH High Alert,RH 1
1,20-03-2024,13:12:50,25.0,23.0,22.0,27.0,26.0,24.8,60.0,55.0,54.0,65.0,64.0,60.4
2,22-04-2024,15:31:55,25.0,23.0,22.0,27.0,26.0,24.5,60.0,55.0,54.0,65.0,64.0,59.8
3,16-06-2024,04:03:35,25.0,23.0,22.0,27.0,26.0,24.5,60.0,55.0,54.0,65.0,64.0,59.7
4,06-01-2024,22:45:41,25.0,23.0,22.0,27.0,26.0,25.4,60.0,55.0,54.0,65.0,64.0,60.4
5,01-07-2024,00:18:11,25.0,23.0,22.0,27.0,26.0,24.9,60.0,55.0,54.0,65.0,64.0,60.0
6,16-09-2024,16:42:53,25.0,23.0,22.0,27.0,26.0,25.4,60.0,55.0,54.0,65.0,64.0,59.7
7,16-02-2024,20:13:16,25.0,23.0,22.0,27.0,26.0,25.3,60.0,55.0,54.0,65.0,64.0,60.5
8,12-06-2024,20:55:17,25.0,23.0,22.0,27.0,26.0,25.1,60.0,55.0,54.0,65.0,64.0,59.8
9,17-06-2024,17:12:19,25.0,23.0,22.0,27.0,26.0,25.2,60.0,55.0,54.0,65.0,64.0,59.9
10,01-09-2024,09:53:05,25.0,23.0,22.0,27.0,26.0,25.0,60.0,55.0,54.0,65.0,64.0,60.5
11,19-01-2024,01:58:11,25.0,23.0,22.0,27.0,26.0,25.4,60.0,55.0,54.0,65.0,64.0,59.7
12,05-01-2024,14:34:31,25.0,23.0,22.0,27.0,26.0,24.9,60.0,55.0,54.0,65.0,64.0,60.2
13,04-08-2024,15:36:17,25.0,23.0,22.0,27.0,26.0,24.9,60.0,55.0,54.0,65.0,64.0,59.9
14,05-03-2024,15:01:54,25.0,23.0,22.0,27.0,26.0,24.6,60.0,55.0,54.0,65.0,64.0,59.7
15,27-05-2024,15:38:40,25.0,23.0,22.0,27.0,26.0,24.7,60.0,55.0,54.0,65.0,64.0,59.7
16,05-04-2024,23:41:57,25.0,23.0,22.0,27.0,26.0,24.6,60.0,55.0,54.0,65.0,64.0,60.4
17,29-06-2024,03:35:13,25.0,23.0,22.0,27.0,26.0,24.9,60.0,55.0,54.0,65.0,64.0,60.3
18,17-05-2024,13:33:41,25.0,23.0,22.0,27.0,26.0,25.2,60.0,55.0,54.0,65.0,64.0,59.9
19,09-08-2024,08:11:35,25.0,23.0,22.0,27.0,26.0,24.8,60.0,55.0,54.0,65.0,64.0,60.1
20,05-07-2024,03:56:57,25.0,23.0,22.0,27.0,26.0,24.5,60.0,55.0,54.0,65.0,64.0,60.2
21,18-07-2024,19:58:30,25.0,23.0,22.0,27.0,26.0,25.0,60.0,55.0,54.0,65.0,64.0,59.7
22,17-07-2024,10:08:18,25.0,23.0,22.0,27.0,26.0,24.5,60.0,55.0,54.0,65.0,64.0,60.2
23,19-06-2024,00:36:23,25.0,23.0,22.0,27.0,26.0,24.6,60.0,55.0,54.0,65.0,64.0,59.8
24,10-03-2024,18:44:00,25.0,23.0,22.0,27.0,26.0,24.7,60.0,55.0,54.0,65.0,64.0,59.5
25,25-02-2024,14:54:21,25.0,23.0,22.0,27.0,26.0,25.1,60.0,55.0,54.0,65.0,64.0,59.6
26,05-02-2024,01:15:35,25.0,23.0,22.0,27.0,26.0,24.9,60.0,55.0,54.0,65.0,64.0,59.7
27,02-01-2024,16:34:14,25.0,23.0,22.0,27.0,26.0,24.7,60.0,55.0,54.0,65.0,64.0,59.7
28,31-03-2024,04:22:26,25.0,23.0,22.0,27.0,26.0,25.1,60.0,55.0,54.0,65.0,64.0,59.5
29,24-01-2024,10:00:54,25.0,23.0,22.0,27.0,26.0,25.0,60.0,55.0,54.0,65.0,64.0,59.8
30,29-01-2024,14:13:46,25.0,23.0,22.0,27.0,26.0,24.8,60.0,55.0,54.0,65.0,64.0,60.3
31,13-10-2024,23:09:32,25.0,23.0,22.0,27.0,26.0,25.2,60.0,55.0,54.0,65.0,64.0,60.2
32,20-09-2024,10:20:46,25.0,23.0,22.0,27.0,26.0,25.3,60.0,55.0,54.0,65.0,64.0,60.0
33,11-01-2024,21:45:34,25.0,23.0,22.0,27.0,26.0,25.3,60.0,55.0,54.0,65.0,64.0,59.5
34,01-03-2024,19:34:57,25.0,23.0,22.0,27.0,26.0,25.0,60.0,55.0,54.0,65.0,64.0,60.1
35,08-10-2024,01:58:22,25.0,23.0,22.0,27.0,26.0,24.7,60.0,55.0,54.0,65.0,64.0,59.7
36,17-07-2024,21:17:39,25.0,23.0,22.0,27.0,26.0,24.8,60.0,55.0,54.0,65.0,64.0,59.9
37,19-01-2024,09:08:25,25.0,23.0,22.0,27.0,26.0,24.7,60.0,55.0,54.0,65.0,64.0,60.1
38,21-06-2024,09:47:29,25.0,23.0,22.0,27.0,26.0,24.6,60.0,55.0,54.0,65.0,64.0,60.1
39,23-01-2024,21:39:31,25.0,23.0,22.0,27.0,26.0,25.2,60.0,55.0,54.0,65.0,64.0,60.5
40,04-01-2024,03:47:37,25.0,23.0,22.0,27.0,26.0,24.8,60.0,55.0,54.0,65.0,64.0,60.0
41,15-07-2024,23:40:34,25.0,23.0,22.0,27.0,26.0,25.4,60.0,55.0,54.0,65.0,64.0,59.6
42,23-07-2024,17:00:22,25.0,23.0,22.0,27.0,26.0,24.9,60.0,55.0,54.0,65.0,64.0,60.0
43,31-01-2024,15:13:35,25.0,23.0,22.0,27.0,26.0,24.6,60.0,55.0,54.0,65.0,64.0,60.3
44,07-07-2024,16:58:59,25.0,23.0,22.0,27.0,26.0,25.2,60.0,55.0,54.0,65.0,64.0,59.7
45,21-06-2024,19:11:34,25.0,23.0,22.0,27.0,26.0,24.8,60.0,55.0,54.0,65.0,64.0,59.9
46,03-08-2024,17:19:36,25.0,23.0,22.0,27.0,26.0,25.3,60.0,55.0,54.0,65.0,64.0,60.3
47,29-09-2024,02:46:28,25.0,23.0,22.0,27.0,26.0,24.7,60.0,55.0,54.0,65.0,64.0,60.4
48,23-02-2024,07:23:33,25.0,23.0,22.0,27.0,26.0,25.1,60.0,55.0,54.0,65.0,64.0,60.4
49,14-10-2024,12:18:56,25.0,23.0,22.0,27.0,26.0,25.0,60.0,55.0,54.0,65.0,64.0,59.7
50,05-01-2024,01:11:54,25.0,23.0,22.0,27.0,26.0,24.8,60.0,55.0,54.0,65.0,64.0,60.3
51,02-05-2024,16:51:49,25.0,23.0,22.0,27.0,26.0,24.8,60.0,55.0,54.0,65.0,64.0,59.8
52,29-01-2024,17:07:11,25.0,23.0,22.0,27.0,26.0,24.6,60.0,55.0,54.0,65.0,64.0,60.3
53,20-06-2024,23:45:17,25.0,23.0,22.0,27.0,26.0,24.6,60.0,55.0,54.0,65.0,64.0,59.6
54,16-05-2024,01:30:14,25.0,23.0,22.0,27.0,26.0,25.4,60.0,55.0,54.0,65.0,64.0,59.8
55,14-05-2024,20:13:58,25.0,23.0,22.0,27.0,26.0,24.8,60.0,55.0,54.0,65.0,64.0,60.2
56,18-08-2024,22:28:02,25.0,23.0,22.0,27.0,26.0,25.2,60.0,55.0,54.0,65.0,64.0,60.4
57,02-07-2024,02:18:16,25.0,23.0,22.0,27.0,26.0,25.0,60.0,55.0,54.0,65.0,64.0,59.6
