Record,Date,Time,Set Temp,T Low Alarm,T Low Alert,T High Alarm,T High Alert,Tmp 1,Tmp 2,Tmp 3,Tmp 4,Tmp 5,Tmp 6,Set RH,RH Low Alarm,RH Low Alert,RH High Alarm,RH High Alert,RH 1,RH 2,RH 3,RH 4,RH 5,RH 6
1,04-08-2024,10:21:11,25.0,23.0,22.0,27.0,26.0,25.2,25.1,25.0,25.4,25.1,25.3,60.0,55.0,54.0,65.0,64.0,59.8,59.9,59.8,59.7,59.8,59.8
2,26-07-2024,20:59:03,25.0,23.0,22.0,27.0,26.0,25.2,25.1,25.3,25.2,25.1,25.4,60.0,55.0,54.0,65.0,64.0,60.1,60.1,59.9,60.2,60.1,60.2
3,13-03-2024,11:11:09,25.0,23.0,22.0,27.0,26.0,25.3,25.5,25.4,25.4,25.1,25.3,60.0,55.0,54.0,65.0,64.0,60.4,60.4,60.3,60.4,60.5,60.6
4,30-01-2024,15:35:35,25.0,23.0,22.0,27.0,26.0,24.7,24.5,24.5,24.5,24.5,24.6,60.0,55.0,54.0,65.0,64.0,60.0,60.2,60.0,59.9,60.2,60.0
5,14-06-2024,16:41:39,25.0,23.0,22.0,27.0,26.0,25.4,25.6,25.6,25.5,25.6,25.3,60.0,55.0,54.0,65.0,64.0,60.2,60.1,60.2,60.2,60.3,60.2
6,22-08-2024,17:10:10,25.0,23.0,22.0,27.0,26.0,25.3,25.3,25.4,25.1,25.2,25.2,60.0,55.0,54.0,65.0,64.0,60.2,60.1,60.1,60.1,60.3,60.2
7,29-03-2024,13:39:31,25.0,23.0,22.0,27.0,26.0,25.1,25.2,25.1,25.1,25.0,25.1,60.0,55.0,54.0,65.0,64.0,59.9,59.9,60.0,59.8,59.7,59.8
8,18-08-2024,01:42:13,25.0,23.0,22.0,27.0,26.0,25.0,25.1,25.2,24.9,25.1,24.9,60.0,55.0,54.0,65.0,64.0,60.4,60.5,60.3,60.4,60.6,60.5
9,24-02-2024,20:03:02,25.0,23.0,22.0,27.0,26.0,25.4,25.5,25.4,25.5,25.4,25.4,60.0,55.0,54.0,65.0,64.0,59.6,59.6,59.6,59.6,59.5,59.8
10,22-08-2024,15:20:25,25.0,23.0,22.0,27.0,26.0,25.5,25.4,25.6,25.3,25.5,25.3,60.0,55.0,54.0,65.0,64.0,59.7,59.7,59.6,59.7,59.9,59.9
11,18-02-2024,19:32:10,25.0,23.0,22.0,27.0,26.0,25.1,25.3,25.1,25.3,25.2,25.0,60.0,55.0,54.0,65.0,64.0,60.0,60.0,60.1,60.2,60.0,60.0
12,28-04-2024,10:08:25,25.0,23.0,22.0,27.0,26.0,25.3,25.1,25.2,25.4,25.1,25.3,60.0,55.0,54.0,65.0,64.0,60.1,60.2,60.2,60.3,60.2,60.2
13,30-03-2024,22:31:52,25.0,23.0,22.0,27.0,26.0,25.1,25.1,25.0,25.3,24.9,25.2,60.0,55.0,54.0,65.0,64.0,60.1,60.2,60.3,60.1,60.3,60.2
14,18-03-2024,18:16:45,25.0,23.0,22.0,27.0,26.0,24.5,24.6,24.5,24.5,24.5,24.7,60.0,55.0,54.0,65.0,64.0,60.0,60.1,60.1,60.2,59.9,60.0
15,13-03-2024,21:44:52,25.0,23.0,22.0,27.0,26.0,24.8,24.7,24.6,24.8,24.8,24.9,60.0,55.0,54.0,65.0,64.0,60.0,60.0,60.2,59.9,60.0,60.0
16,05-06-2024,19:58:45,25.0,23.0,22.0,27.0,26.0,25.1,25.1,25.2,25.1,25.2,25.3,60.0,55.0,54.0,65.0,64.0,59.8,59.8,59.9,59.8,59.7,59.8
17,25-05-2024,10:41:42,25.0,23.0,22.0,27.0,26.0,25.3,25.3,25.3,25.5,25.2,25.5,60.0,55.0,54.0,65.0,64.0,60.2,60.3,60.2,60.1,60.1,60.2
18,23-08-2024,13:17:23,25.0,23.0,22.0,27.0,26.0,24.6,24.7,24.5,24.4,24.7,24.4,60.0,55.0,54.0,65.0,64.0,59.9,59.8,59.9,59.9,59.8,59.8
19,25-05-2024,02:04:59,25.0,23.0,22.0,27.0,26.0,25.1,25.1,25.3,25.1,25.2,25.0,60.0,55.0,54.0,65.0,64.0,59.9,60.1,60.0,59.8,59.8,59.8
20,02-07-2024,14:48:15,25.0,23.0,22.0,27.0,26.0,24.6,24.7,24.7,24.8,24.8,24.7,60.0,55.0,54.0,65.0,64.0,60.5,60.5,60.7,60.4,60.6,60.5
