Record,Date,Time,Set Temp,T Low Alarm,T Low Alert,T High Alarm,T High Alert,Tmp 1
1,2024-03-20,13:12:50,25.0,23.0,22.0,27.0,26.0,24.8
2,2024-04-22,15:31:55,25.0,23.0,22.0,27.0,26.0,24.5
3,2024-06-16,04:03:35,25.0,23.0,22.0,27.0,26.0,24.5
4,2024-01-06,22:45:41,25.0,23.0,22.0,27.0,26.0,25.4
5,2024-07-01,00:18:11,25.0,23.0,22.0,27.0,26.0,24.9
6,2024-09-16,16:42:53,25.0,23.0,22.0,27.0,26.0,25.4
7,2024-02-16,20:13:16,25.0,23.0,22.0,27.0,26.0,25.3
8,2024-06-12,20:55:17,25.0,23.0,22.0,27.0,26.0,25.1
9,2024-06-17,17:12:19,25.0,23.0,22.0,27.0,26.0,25.2
10,2024-09-01,09:53:05,25.0,23.0,22.0,27.0,26.0,25.0
11,2024-01-19,01:58:11,25.0,23.0,22.0,27.0,26.0,25.4
12,2024-01-05,14:34:31,25.0,23.0,22.0,27.0,26.0,24.9
13,2024-08-04,15:36:17,25.0,23.0,22.0,27.0,26.0,24.9
14,2024-03-05,15:01:54,25.0,23.0,22.0,27.0,26.0,24.6
15,2024-05-27,15:38:40,25.0,23.0,22.0,27.0,26.0,24.7
16,2024-04-05,23:41:57,25.0,23.0,22.0,27.0,26.0,24.6
17,2024-06-29,03:35:13,25.0,23.0,22.0,27.0,26.0,24.9
18,2024-05-17,13:33:41,25.0,23.0,22.0,27.0,26.0,25.2
19,2024-08-09,08:11:35,25.0,23.0,22.0,27.0,26.0,24.8
20,2024-07-05,03:56:57,25.0,23.0,22.0,27.0,26.0,24.5
21,2024-07-18,19:58:30,25.0,23.0,22.0,27.0,26.0,25.0
22,2024-07-17,10:08:18,25.0,23.0,22.0,27.0,26.0,24.5
23,2024-06-19,00:36:23,25.0,23.0,22.0,27.0,26.0,24.6
24,2024-03-10,18:44:00,25.0,23.0,22.0,27.0,26.0,24.7
25,2024-02-25,14:54:21,25.0,23.0,22.0,27.0,26.0,25.1
26,2024-02-05,01:15:35,25.0,23.0,22.0,27.0,26.0,24.9
27,2024-01-02,16:34:14,25.0,23.0,22.0,27.0,26.0,24.7
28,2024-03-31,04:22:26,25.0,23.0,22.0,27.0,26.0,25.1
29,2024-01-24,10:00:54,25.0,23.0,22.0,27.0,26.0,25.0
30,2024-01-29,14:13:46,25.0,23.0,22.0,27.0,26.0,24.8
31,2024-10-13,23:09:32,25.0,23.0,22.0,27.0,26.0,25.2
32,2024-09-20,10:20:46,25.0,23.0,22.0,27.0,26.0,25.3
33,2024-01-11,21:45:34,25.0,23.0,22.0,27.0,26.0,25.3
34,2024-03-01,19:34:57,25.0,23.0,22.0,27.0,26.0,25.0
35,2024-10-08,01:58:22,25.0,23.0,22.0,27.0,26.0,24.7
36,2024-07-17,21:17:39,25.0,23.0,22.0,27.0,26.0,24.8
37,2024-01-19,09:08:25,25.0,23.0,22.0,27.0,26.0,24.7
38,2024-06-21,09:47:29,25.0,23.0,22.0,27.0,26.0,24.6
39,2024-01-23,21:39:31,25.0,23.0,22.0,27.0,26.0,25.2
40,2024-01-04,03:47:37,25.0,23.0,22.0,27.0,26.0,24.8
41,2024-07-15,23:40:34,25.0,23.0,22.0,27.0,26.0,25.4
42,2024-07-23,17:00:22,25.0,23.0,22.0,27.0,26.0,24.9
43,2024-01-31,15:13:35,25.0,23.0,22.0,27.0,26.0,24.6
44,2024-07-07,16:58:59,25.0,23.0,22.0,27.0,26.0,25.2
45,2024-06-21,19:11:34,25.0,23.0,22.0,27.0,26.0,24.8
46,2024-08-03,17:19:36,25.0,23.0,22.0,27.0,26.0,25.3
47,2024-09-29,02:46:28,25.0,23.0,22.0,27.0,26.0,24.7
48,2024-02-23,07:23:33,25.0,23.0,22.0,27.0,26.0,25.1
49,2024-10-14,12:18:56,25.0,23.0,22.0,27.0,26.0,25.0
50,2024-01-05,01:11:54,25.0,23.0,22.0,27.0,26.0,24.8
51,2024-05-02,16:51:49,25.0,23.0,22.0,27.0,26.0,24.8
52,2024-01-29,17:07:11,25.0,23.0,22.0,27.0,26.0,24.6
53,2024-06-20,23:45:17,25.0,23.0,22.0,27.0,26.0,24.6
54,2024-05-16,01:30:14,25.0,23.0,22.0,27.0,26.0,25.4
55,2024-05-14,20:13:58,25.0,23.0,22.0,27.0,26.0,24.8
56,2024-08-18,22:28:02,25.0,23.0,22.0,27.0,26.0,25.2
57,2024-07-02,02:18:16,25.0,23.0,22.0,27.0,26.0,25.0
58,2024-08-12,06:33:29,25.0,23.0,22.0,27.0,26.0,25.1
59,2024-02-10,05:05:37,25.0,23.0,22.0,27.0,26.0,25.2
