Record,Date,Time,Set Temp,T Low Alarm,T Low Alert,T High Alarm,T High Alert,Tmp 1,Tmp 2,Tmp 3,Tmp 4,Tmp 5,Tmp 6,Set RH,RH Low Alarm,RH Low Alert,RH High Alarm,RH High Alert,RH 1,RH 2,RH 3,RH 4,RH 5,RH 6
1,2024-08-04,10:21:11,25.0,23.0,22.0,27.0,26.0,25.2,25.1,25.0,25.4,25.1,25.3,60.0,55.0,54.0,65.0,64.0,59.8,59.9,59.8,59.7,59.8,59.8
2,2024-07-26,20:59:03,25.0,23.0,22.0,27.0,26.0,25.2,25.1,25.3,25.2,25.1,25.4,60.0,55.0,54.0,65.0,64.0,60.1,60.1,59.9,60.2,60.1,60.2
3,2024-03-13,11:11:09,25.0,23.0,22.0,27.0,26.0,25.3,25.5,25.4,25.4,25.1,25.3,60.0,55.0,54.0,65.0,64.0,60.4,60.4,60.3,60.4,60.5,60.6
4,2024-01-30,15:35:35,25.0,23.0,22.0,27.0,26.0,24.7,24.5,24.5,24.5,24.5,24.6,60.0,55.0,54.0,65.0,64.0,60.0,60.2,60.0,59.9,60.2,60.0
5,2024-06-14,16:41:39,25.0,23.0,22.0,27.0,26.0,25.4,25.6,25.6,25.5,25.6,25.3,60.0,55.0,54.0,65.0,64.0,60.2,60.1,60.2,60.2,60.3,60.2
6,2024-08-22,17:10:10,25.0,23.0,22.0,27.0,26.0,25.3,25.3,25.4,25.1,25.2,25.2,60.0,55.0,54.0,65.0,64.0,60.2,60.1,60.1,60.1,60.3,60.2
7,2024-03-29,13:39:31,25.0,23.0,22.0,27.0,26.0,25.1,25.2,25.1,25.1,25.0,25.1,60.0,55.0,54.0,65.0,64.0,59.9,59.9,60.0,59.8,59.7,59.8
8,2024-08-18,01:42:13,25.0,23.0,22.0,27.0,26.0,25.0,25.1,25.2,24.9,25.1,24.9,60.0,55.0,54.0,65.0,64.0,60.4,60.5,60.3,60.4,60.6,60.5
9,2024-02-24,20:03:02,25.0,23.0,22.0,27.0,26.0,25.4,25.5,25.4,25.5,25.4,25.4,60.0,55.0,54.0,65.0,64.0,59.6,59.6,59.6,59.6,59.5,59.8
10,2024-08-22,15:20:25,25.0,23.0,22.0,27.0,26.0,25.5,25.4,25.6,25.3,25.5,25.3,60.0,55.0,54.0,65.0,64.0,59.7,59.7,59.6,59.7,59.9,59.9
11,2024-02-18,19:32:10,25.0,23.0,22.0,27.0,26.0,25.1,25.3,25.1,25.3,25.2,25.0,60.0,55.0,54.0,65.0,64.0,60.0,60.0,60.1,60.2,60.0,60.0
