Record,DATE, TIME, LOW_ALARM_LIMIT, SET_TEMP, HIGH_ALARM_LIMIT, TEMP_1, TEMP_2, TEMP_3, TEMP_4,TEMP_5, TEMP_6, TEMP_7, TEMP_8, TEMP_9,  TEMP_10, RH_LOW_ALM_LIMIT, RH_SET, RH_HIGH_ALM_LIMIT, RH_1, RH_2, RH_3, RH_4, RH_5, RH_6, RH_7, RH_8, RH_9, RH_10
         1,2025-01-15,14:35:02.011,   5.500000E+01,   7.800000E+01,   7.500000E+01,   3.000000E+01,   2.600000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   7.300000E+01,   6.900000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01
         2,2025-01-15,14:40:02.005,   5.500000E+01,   7.800000E+01,   7.500000E+01,   3.000000E+01,   2.600000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   7.700000E+01,   7.100000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01
         3,2025-01-15,14:45:02.004,   5.500000E+01,   7.800000E+01,   7.500000E+01,   3.000000E+01,   2.600000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   7.600000E+01,   7.200000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01
         4,2025-01-15,14:50:02.006,   5.500000E+01,   7.800000E+01,   7.500000E+01,   3.000000E+01,   2.600000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   7.700000E+01,   7.300000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01
         5,2025-01-15,14:55:02.004,   5.500000E+01,   7.800000E+01,   7.500000E+01,   3.100000E+01,   2.600000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   7.600000E+01,   7.300000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01
         6,2025-01-15,15:00:02.005,   5.500000E+01,   7.800000E+01,   7.500000E+01,   3.100000E+01,   2.600000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   7.400000E+01,   7.100000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01
         7,2025-01-15,15:05:02.002,   5.500000E+01,   7.800000E+01,   7.500000E+01,   3.000000E+01,   2.600000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   7.600000E+01,   7.200000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01
         8,2025-01-15,15:10:02.003,   5.500000E+01,   7.800000E+01,   7.500000E+01,   3.100000E+01,   2.700000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   7.300000E+01,   7.000000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01
         9,2025-01-15,15:15:02.006,   2.000000E+01,   2.500000E+01,   1.000000E+01,   2.600000E+01,   2.700000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,   2.000000E+01,   6.000000E+00,   6.000000E+01,   7.300000E+01,   7.000000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01
        10,2025-01-15,15:30:02.002,   2.000000E+01,   2.500000E+01,   1.000000E+01,   2.600000E+01,   2.700000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,   2.000000E+01,   6.000000E+01,   8.000000E+01,   7.300000E+01,   7.000000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01
