Record,Date,Set Temp,T Low Alarm,T Low Alert,T High Alarm,T High Alert,Tmp 1,Tmp 2,Tmp 3,Tmp 4,Tmp 5,Tmp 6,Tmp 7,Tmp 8,Tmp 9,Tmp 10,Set RH,RH Low Alarm,RH Low Alert,RH High Alarm,RH High Alert,RH 1,RH 2,RH 3,RH 4,RH 5,RH 6,RH 7,RH 8,RH 9,RH 10
1,01-04-2024,25.0,23.0,22.0,27.0,26.0,24.8,24.8,24.6,25.0,24.9,24.8,24.6,24.8,24.7,24.5,60.0,55.0,65.0,65.0,63.0,60.0,60.2,60.4,60.2,60.2,60.1,60.3,60.5,60.3,60.4
2,04-04-2024,25.0,23.0,22.0,27.0,26.0,24.9,24.9,24.7,24.8,24.7,24.6,24.9,25.0,24.8,24.7,60.0,55.0,65.0,65.0,63.0,60.0,60.3,60.1,60.2,60.4,60.1,60.0,60.1,60.5,60.5
3,08-04-2024,25.0,23.0,22.0,27.0,26.0,24.7,24.7,24.7,24.5,24.6,24.9,24.9,24.9,24.9,24.9,60.0,55.0,65.0,65.0,63.0,60.4,60.3,60.3,60.5,60.4,60.4,60.2,60.3,60.2,60.2
4,12-04-2024,25.0,23.0,22.0,27.0,26.0,24.8,24.8,24.5,24.8,24.9,24.9,24.7,24.7,24.6,24.7,60.0,55.0,65.0,65.0,63.0,60.3,60.5,60.3,60.2,60.4,60.4,60.3,60.1,60.2,60.1
5,15-04-2024,25.0,23.0,22.0,27.0,26.0,24.8,24.8,24.6,24.8,24.6,24.6,24.8,24.6,25.0,24.6,60.0,55.0,65.0,65.0,63.0,60.1,60.4,60.0,60.2,60.4,60.1,60.2,60.4,60.2,60.1
6,19-04-2024,25.0,23.0,22.0,27.0,26.0,24.6,25.0,24.8,24.8,24.6,24.6,24.8,24.6,25.0,24.6,60.0,55.0,65.0,65.0,63.0,60.2,60.2,60.3,60.1,60.3,60.1,60.2,60.1,60.1,60.2
7,23-04-2024,25.0,23.0,22.0,27.0,26.0,24.5,24.6,24.7,24.6,24.5,25.0,24.7,24.6,24.9,24.9,60.0,55.0,65.0,65.0,63.0,60.0,60.2,60.0,60.4,60.5,60.3,60.3,60.4,60.2,60.2
8,26-04-2024,25.0,23.0,22.0,27.0,26.0,24.9,25.0,24.8,24.5,24.7,24.9,24.7,24.8,24.9,24.8,60.0,55.0,65.0,65.0,63.0,60.2,60.2,60.2,60.2,60.0,60.3,60.3,60.4,60.2,60.5
9,30-04-2024,25.0,23.0,22.0,27.0,26.0,25.0,24.6,24.8,24.6,24.7,24.8,25.0,24.5,24.7,24.7,60.0,55.0,65.0,65.0,63.0,60.1,60.5,60.0,60.4,60.4,60.2,60.4,60.4,60.1,60.4
10,04-05-2024,25.0,23.0,22.0,27.0,26.0,24.7,24.7,24.8,24.5,24.8,24.6,24.6,24.8,24.9,24.5,60.0,55.0,65.0,65.0,63.0,60.4,60.1,60.3,60.4,60.5,60.4,60.5,60.0,60.4,60.4
